ID,IMDB ID,Title,Original Title,Spoken Languages,Collection,Release Date,Genres,Tagline,Overview,Runtime,Production Companies,Production Countries,Budget,Revenue,Vote Average,Vote Count,Popularity,Homepage,Status,Poster Path
710,tt0113189,GoldenEye,GoldenEye,"English, Pусский, Español",James Bond Collection,1995-11-16,"Adventure, Action, Thriller",No limits. No fears. No substitutes.,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,130 mins,"United Artists, Eon Productions","United Kingdom, United States of America","58,000,000","352,194,034",6.6,"1,194",14.686036,http://www.mgm.com/view/movie/757/Goldeneye/,Released,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg
10634,tt0113118,Friday,Friday,English,Friday Collection,1995-04-26,Comedy,A lot can go down between thursday and saturday...,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",91 mins,New Line Cinema,United States of America,"3,500,000","28,215,918",7.0,513,14.56965,http://www.newline.com/properties/friday.html,Released,/kkoGT4bnK5oGiNbzGGcXzrXMSxn.jpg
755,tt0116367,From Dusk Till Dawn,From Dusk Till Dawn,"English, Español",From Dusk Till Dawn Collection,1996-01-19,"Horror, Action, Thriller, Crime",One night is all that stands between them and freedom. But it's going to be a hell of a night.,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",108 mins,"A Band Apart, Dimension Films, Los Hooligans Productions, Miramax",United States of America,"19,000,000","25,836,616",6.9,"1,644",15.339153,http://www.miramax.com/movie/from-dusk-till-dawn/,Released,/ce0d4kM5KxT4x1Oq8JkSuNYevri.jpg
5894,tt0112541,Blue in the Face,Blue in the Face,English,Brooklyn Cigar Store Collection,1995-09-15,Comedy,Welcome to the planet Brooklyn.,"Auggie runs a small tobacco shop in Brooklyn, New York. The whole neighborhood comes to visit him to buy cigarettes and have some small talk. During the movie Lou Reed tries to explain why he has to have a cut on his health insurance bill if he keeps smoking and Madonna acts as a Singing Telegram.",83 mins,"Miramax Films, InterAL",United States of America,"2,000,000","1,275,000",6.8,28,11.528147,http://miramax.com/movie/blue-in-the-face/,Released,/qa9yf3OlfXbYBb0af0mpawGB6TI.jpg
9070,tt0113820,Mighty Morphin Power Rangers: The Movie,Mighty Morphin Power Rangers: The Movie,English,Power Rangers Collection,1995-06-30,"Action, Adventure, Science Fiction, Family, Fantasy",The Power Is On!,"Power up with six incredible teens who out-maneuver and defeat evil everywhere as the Mighty Morphin Power Ranger, But this time the Power Rangers may have met their match, when they face off with the most sinister monster the galaxy has ever seen.",92 mins,"Twentieth Century Fox Film Corporation, Saban Entertainment, Toei Company","Japan, United States of America","15,000,000","66,000,000",5.2,153,7.024227,http://www.powerrangers.com/,Released,/A3ijhraMN0tvpDnPoyVP7NulkSr.jpg
2292,tt0109445,Clerks,Clerks,English,Clerks Collection,1994-09-13,Comedy,Just because they serve you doesn't mean they like you.,"Convenience and video store clerks Dante and Randal are sharp-witted, potty-mouthed and bored out of their minds. So in between needling customers, the counter jockeys play hockey on the roof, visit a funeral home and deal with their love lives.",92 mins,"Miramax Films, View Askew Productions",United States of America,"27,000","3,151,130",7.4,769,10.513367,http://www.miramax.com/movie/clerks/,Released,/dmNytzvQTjylI83qrgDoS1KQ0ev.jpg
11,tt0076759,Star Wars,Star Wars,English,Star Wars Collection,1977-05-25,"Adventure, Action, Science Fiction","A long time ago in a galaxy far, far away...",Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,121 mins,"Lucasfilm, Twentieth Century Fox Film Corporation",United States of America,"11,000,000","775,398,007",8.1,"6,778",42.149697,http://www.starwars.com/films/star-wars-episode-iv-a-new-hope,Released,/btTdmkgIvOi0FFip1sPuZI2oQG6.jpg
22586,tt0111333,The Swan Princess,The Swan Princess,English,Swan Princess Series,1994-11-18,Animation,An enchanting classic destined to capture your heart and free your spirit.,"The beautiful princess Odette is transformed into a swan by an evil sorcerer's spell. Held captive at an enchanted lake, she befriends Jean-Bob the frog, Speed the turtle and Puffin the bird. Despite their struggle to keep the princess safe, these good-natured creatures can do nothing about the sorcerer's spell, which can only be broken by a vow of everlasting love.",89 mins,Rich Animation Studios,United States of America,"35,000,000","9,771,658",6.5,251,8.910462,http://www.sonypictures.com/movies/theswanprincess/,Released,/oYp2bckWNBKOIbznjAfypVoMOFl.jpg
8587,tt0110357,The Lion King,The Lion King,English,The Lion King Collection,1994-06-23,"Family, Animation, Drama",Life's greatest adventure is finding your place in the Circle of Life.,A young lion cub named Simba can't wait to be king. But his uncle craves the title for himself and will stop at nothing to get it.,89 mins,"Walt Disney Pictures, Walt Disney Feature Animation",United States of America,"45,000,000","788,241,776",8.0,"5,520",21.605761,http://movies.disney.com/the-lion-king,Released,/bKPtXn9n4M4s8vvZrbw40mYsefB.jpg
329,tt0107290,Jurassic Park,Jurassic Park,"English, Español",Jurassic Park Collection,1993-06-11,"Adventure, Science Fiction",An adventure 65 million years in the making.,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",127 mins,"Universal Pictures, Amblin Entertainment",United States of America,"63,000,000","920,100,000",7.6,"4,956",8.863776,http://www.jurassicpark.com/,Released,/c414cDeQ9b6qLPLeKmiJuLDUREJ.jpg
